year,month,product,country,volume_kg,value_usd
2023,01,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",SOUTH KOREA,1068,18548
2023,01,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",SPAIN,373,10406
2023,01,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",THAILAND,168,2500
2023,01,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",VIETNAM,4746,23321
2023,01,CONCH NSPF FROZEN,BELIZE,32341,527850
2023,01,CONCH NSPF FROZEN,ST.VINCENT-GRENADINE,10206,200500
2023,01,CONCH NSPF FROZEN,VIETNAM,128,3699
2023,01,CONCH NSPF LIVE/FRESH,HONDURAS,10953,163200
2023,01,CRAB NSPF DRIED/SALTED/BRINE,CHINA,900,5608
2023,01,CRAB NSPF DRIED/SALTED/BRINE,MEXICO,4603,173396
2023,01,CRAB NSPF FROZEN,ALBANIA,12004,84158
2023,01,CRAB NSPF FROZEN,BAHAMAS,40256,559655
2023,01,CRAB NSPF FROZEN,BAHRAIN,100812,511355
2023,01,CRAB NSPF FROZEN,BURMA,44720,715695
2023,01,CRAB NSPF FROZEN,CANADA,148482,2555204
2023,01,CRAB NSPF FROZEN,CHINA,271097,1200128
2023,01,CRAB NSPF FROZEN,ECUADOR,12439,70752
2023,01,CRAB NSPF FROZEN,GREECE,18400,94545
2023,01,CRAB NSPF FROZEN,INDONESIA,37217,700818
2023,01,CRAB NSPF FROZEN,MEXICO,81142,511333
2023,01,CRAB NSPF FROZEN,SOUTH KOREA,8907,166623
2023,01,CRAB NSPF FROZEN,SRI LANKA,49938,347869
2023,01,CRAB NSPF FROZEN,THAILAND,17356,67796
2023,01,CRAB NSPF FROZEN,UNITED KINGDOM,18040,184458
2023,01,CRAB NSPF FROZEN,VIETNAM,4036,43657
2023,01,CRAB NSPF LIVE/FRESH,AUSTRALIA,738,21214
2023,01,CRAB NSPF LIVE/FRESH,BAHAMAS,766,32091
2023,01,CRAB NSPF LIVE/FRESH,CANADA,15803,229584
2023,01,CRAB NSPF LIVE/FRESH,JAPAN,160,14012
2023,01,CRAB NSPF LIVE/FRESH,NORWAY,87642,3337922
2023,01,CRAB NSPF LIVE/FRESH,SOUTH KOREA,5735,184873
2023,01,CRAB NSPF LIVE/FRESH,SWEDEN,20883,900071
2023,01,CRAB NSPF LIVE/FRESH,VIETNAM,5866,61573
2023,01,CRAB NSPF OTHER PREPARATIONS,CHINA,28977,236694
2023,01,CRAB NSPF OTHER PREPARATIONS,INDIA,15241,38927
2023,01,CRAB NSPF OTHER PREPARATIONS,IRELAND,15618,172090
2023,01,CRAB NSPF OTHER PREPARATIONS,MEXICO,68,2642
2023,01,CRAB NSPF OTHER PREPARATIONS,SOUTH KOREA,14297,269395
2023,01,CRAB NSPF OTHER PREPARATIONS,THAILAND,8024,77243
2023,01,CRAB NSPF OTHER PREPARATIONS,VIETNAM,14488,79553
2023,01,CRAB NSPF OTHER PREPARATIONS IN ATC,THAILAND,9891,82200
2023,01,CRAB PRODUCTS PREPARED DINNERS NOT IN ATC,SOUTH KOREA,7071,93134
2023,01,CRAB RED KING (PARALITHODES CAMTSCHATICUS) FROZEN,NORWAY,1269,81302
2023,01,CRAB SNOW FROZEN,CANADA,1313372,24070722
2023,01,CRAB SNOW FROZEN,GREENLAND,91125,1247574
2023,01,CRAB SNOW FROZEN,JAPAN,20,3239
2023,01,CRAB SNOW FROZEN,NORWAY,48270,563878
2023,01,CRAB SNOW FROZEN,VIETNAM,2678,19479
2023,01,CRAB SOUTHERN RED SANTOLLA KING (LITHODES SANTOLLA)FROZEN,ARGENTINA,61059,1786803
2023,01,CRAB SOUTHERN RED SANTOLLA KING (LITHODES SANTOLLA)FROZEN,CHILE,3229,41981
2023,01,CRABMEAT DUNGENESS IN ATC,INDONESIA,34745,1487114
2023,01,CRABMEAT KING FROZEN,SOUTH KOREA,12247,228900
2023,01,CRABMEAT KING IN ATC,CHILE,7353,150863
2023,01,CRABMEAT KING IN ATC,INDONESIA,2658,146527
2023,01,CRABMEAT NSPF FROZEN,BAHAMAS,2440,26841
2023,01,CRABMEAT NSPF FROZEN,CANADA,83702,1940230
2023,01,CRABMEAT NSPF FROZEN,MEXICO,4552,60633
2023,01,CRABMEAT NSPF FROZEN,SOUTH KOREA,18501,308752
2023,01,CRABMEAT NSPF IN ATC,CHILE,17074,373278
2023,01,CRABMEAT NSPF IN ATC,INDONESIA,64091,1934866
2023,01,CRABMEAT NSPF IN ATC,THAILAND,26877,89764
2023,01,CRABMEAT NSPF IN ATC,VIETNAM,40321,825158
